본부명,지사명,표준시설코드,시설명,대피소명,소재지,전화번호,수용가능인원,위도,경도
경북,영덕.울진,4777010127,기사,황장리경로당,경상북도 영덕군 지품면 원전리,054-732-9834,42.0,36.4904425,129.2018327
경북,영덕.울진,4777010127,기사,신안출포경로당,경상북도 영덕군 지품면 신안리,054-733-5967,21.0,36.4512802,129.2691801
경북,영덕.울진,4777010127,기사,눌곡리마을회관,경상북도 영덕군 지품면 눌곡리,054-734-2214,26.0,36.4351824,129.2852903
경북,영덕.울진,4777010127,기사,지품중학교,경상북도 영덕군 지품면 신안리,054-732-3013,723.0,36.4512802,129.2691801
경북,영덕.울진,4777010127,기사,송천1리마을회관,경상북도 영덕군 지품면 송천리,054-732-0787,32.0,36.4301475,129.230481
경북,영덕.울진,4777010127,기사,복곡리경로회관,경상북도 영덕군 지품면 복곡리,054-732-7013,30.0,36.4716768,129.1993095
경북,영덕.울진,4777010127,기사,원전학구노인복지회관,경상북도 영덕군 지품면 원전리,054-733-9854,44.0,36.4904425,129.2018327
경북,고령,4783010035,옥계,덕곡초등학교,경상북도 고령군 덕곡면 예리,054-955-5707,,35.7782615,128.2321607
경북,고령,4783010035,옥계,덕곡면사무소,경상북도 고령군 덕곡면 예리,054-950-7555,98.0,35.7782615,128.2321607
경북,고령,4783010035,옥계,덕곡초등학교,경상북도 고령군 덕곡면 예리,054-955-5707,345.0,35.7782615,128.2321607
경북,고령,4783010035,옥계,덕곡면 보건진료소,경상북도 고령군 덕곡면 예리,054-955-2270,,35.7782615,128.2321607
경북,고령,4783010029,덕곡,운수초등학교,경상북도 고령군 운수면 봉평리,054-955-5070,368.0,35.7805997,128.3009725
경북,고령,4783010029,덕곡,운수초등학교,경상북도 고령군 운수면 봉평리,054-955-5070,368.0,35.7805997,128.3009725
경북,고령,4783010029,덕곡,고령고등학교,경상북도 고령군 대가야읍 연조리,054-956-3042,1274.0,35.7331341,128.2633256
경북,고령,4783010029,덕곡,고령중학교,경상북도 고령군 대가야읍 쾌빈리,054-956-5715,1729.0,35.7425622,128.2645997
경북,고령,4783010029,덕곡,금성리경로당,경상북도 고령군 운수면 봉평리,054-955-9989,12.0,35.7805997,128.3009725
경북,고령,4783010029,덕곡,덕곡보건소,경상북도 고령군 덕곡면,054-955-2270,20.0,35.7821533,128.203397
경북,고령,4783010029,덕곡,대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3516,920.0,35.7425622,128.2645997
경북,영덕.울진,4793010020,온정,온정리 852-1,경상북도 울진군 온정면 온정리,,282.0,36.7092073,129.3198621
경북,영덕.울진,4793010020,온정,온정2리 마을회관,경상북도 울진군 온정면 온정리,,23.0,36.7092073,129.3198621
경북,영덕.울진,4793010020,온정,백암온천마을,경상북도 울진군 온정면 온정리,054-787-7620,276.0,36.7092073,129.3198621
경북,영덕.울진,4793010020,온정,광품리 573,경상북도 울진군 온정면 광품리,,25.0,36.7256443,129.3947038
경북,영덕.울진,4793010020,온정,온정초등학교,경상북도 울진군 온정면 온정리,054-787-3011,647.0,36.7092073,129.3198621
경북,영덕.울진,4793010020,온정,항암미술관,경상북도 울진군 온정면 온정리,054-787-0001,107.0,36.7092073,129.3198621
경북,영덕.울진,4777010126,보림,어업기술센터 영덕지소,경상북도 영덕군 영덕읍 우곡리,054-734-5450,,36.4119091,129.3814682
경북,영덕.울진,4777010126,보림,대구기상대,대구광역시 동구 효목동,053-952-0365~6,,35.8802037,128.6428029
경북,영덕.울진,4777010124,수동,창수초등학교 인천분교장,경상북도 영덕군 창수면 인천리,054-732-6079,550.0,36.6274812,129.2821664
경북,영덕.울진,4793010008,부구,북면장로교회,경상북도 울진군 북면 덕구리,054-782-0829,100.0,37.0793714,129.2740471
경북,영덕.울진,4793010008,부구,성조사,경상북도 울진군 북면 덕구리,054-782-5598,200.0,37.0793714,129.2740471
경북,영덕.울진,4793010008,부구,궁전식당,경상북도 울진군 북면 덕구리,054-783-2220,20.0,37.0793714,129.2740471
경북,영덕.울진,4793010008,부구,덕구1리마을회관,경상북도 울진군 북면 덕구리,054-782-6713,50.0,37.0793714,129.2740471
경북,영덕.울진,4793010008,부구,부구초등학교,경상북도 울진군 북면 덕구리,054-782-0255,1599.0,37.0793714,129.2740471
경북,영덕.울진,4793010008,부구,휴모텔,경상북도 울진군 북면 덕구리,054-781-0447,50.0,37.0793714,129.2740471
경북,고령,4783010020,신동,대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,054-950-7502,1729.0,35.7425622,128.2645997
경북,고령,4783010020,신동,대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3518,912.0,35.7425622,128.2645997
경북,고령,4783010020,신동,의용소방대,경상북도 고령군 대가야읍 고아리,054-954-3023,,35.7175242,128.2701102
경북,고령,4783010005,중화,대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,054-950-7502,1729.0,35.7425622,128.2645997
경북,고령,4783010005,중화,대가야고등학교,경상북도 고령군 대가야읍 쾌빈리,054-954-3518,912.0,35.7425622,128.2645997
경북,고령,4783010005,중화,대가야읍사무소,경상북도 고령군 대가야읍 쾌빈리,,1729.0,35.7425622,128.2645997
경북,고령,4783010005,중화,연조1리마을회관,경상북도 고령군 대가야읍 연조리,,23.0,35.7331341,128.2633256
경북,고령,4783010005,중화,고령군청,경상북도 고령군 대가야읍 지산리,054-950-6443,,35.7246502,128.2488205
경북,고령,4783010005,중화,경북도청,경상북도 안동시 풍천면 갈전리,054-880-2358,,36.570849,128.5059808
경북,고령,4783010005,중화,고령보건소,경상북도 고령군 대가야읍 지산리,054-954-1300,,35.7246502,128.2488205
경북,고령,4783010005,중화,연조1리마을회관,경상북도 고령군 대가야읍 연조리,,30.0,35.7331341,128.2633256
경북,예천,4790010022,운암,경상북도청,경상북도 안동시 풍천면,054-880-2358,,36.5257241,128.5158761
경북,예천,4790010022,운암,용문면주민센타,경상북도 예천군 용문면 상금곡리,054-650-6622,,36.6970858,128.4103842
경북,예천,4790010022,운암,한국농어촌공사 경북지역본부,대구광역시 북구 구암동,053-320-0748,,35.932309,128.5672855
경북,예천,4790010022,운암,한국농어촌공사 경천지사,경상북도 예천군,054-650-7132,,36.6574914,128.4611513
경북,예천,4790010022,운암,예천중교,경상북도 예천군 예천읍 남본리,054-654-4477,223.0,36.6498203,128.4542731
경북,예천,4790010022,운암,예천군청소년수련원,경상북도 예천군 예천읍 동본리,054-650-6425,250.0,36.6552717,128.4677648
경북,예천,4790010022,운암,예천군문화회관,경상북도 예천군 예천읍 서본리,054-650-6422,785.0,36.6517974,128.4463393
경북,예천,4790010022,운암,대창고교,경상북도 예천군 예천읍 노상리,054-654-3341,480.0,36.6596207,128.453585
